Date,Open,High,Low,Close,Volume,Market Cap,MSTR Stock,PYPL_Stock,BDT_Stock
2020-05-02,8869.06,9007.19,8811.37,8988.6,40134388683,1.65E+11,122.59,123.66,6620
2020-05-03,8983.61,9167.78,8830.97,8897.47,47101785174,1.63E+11,122.59,123.66,6620
2020-05-04,8895.74,8956.91,8645.02,8912.65,45718796276,1.64E+11,118.55,123.66,6780
2020-05-05,8912.83,9062.41,8856.83,9003.07,43148462663,1.65E+11,120.81,125.43,6780
2020-05-06,9007.44,9411.47,8966.71,9268.76,49371886931,1.70E+11,122,128.31,6790
2020-05-07,9261.9,9992.66,9138.32,9951.52,61112700562,1.83E+11,123.48,146.29,7120
2020-05-08,9936.16,9996.74,9767.17,9842.67,51780748042,1.81E+11,124.67,144.96,7460
2020-05-09,9840.91,9913.86,9580.64,9593.9,46566121841,1.76E+11,124.67,143.96,7460
2020-05-10,9591.17,9595.58,8395.11,8756.43,63325279337,1.61E+11,124.67,143.96,7460
2020-05-11,8755.54,9033.47,8374.32,8601.8,57119858802,1.58E+11,123.82,143.96,6920
2020-05-12,8610.39,8949.9,8569.64,8804.48,42142717533,1.62E+11,120.11,141.03,6850
2020-05-13,8805.39,9317.88,8805.39,9269.99,45558144023,1.70E+11,114.95,143.73,6810
2020-05-14,9271.33,9793.27,9255.03,9733.72,56426907637,1.79E+11,113.21,144.41,7120
2020-05-15,9734.29,9755.83,9261.4,9328.2,48158802327,1.71E+11,115.58,145.51,7050
2020-05-16,9333.24,9564.2,9260.69,9377.01,36164766408,1.72E+11,115.58,146.24,7050
2020-05-17,9374.93,9823,9349.55,9670.74,40084250663,1.78E+11,115.58,146.24,7050
2020-05-18,9675.69,9906.03,9570.36,9726.57,41827139896,1.79E+11,120.13,146.24,7200
2020-05-19,9727.06,9836.05,9539.62,9729.04,39254288955,1.79E+11,119.06,145.39,7180
2020-05-20,9725.33,9804.79,9447.2,9522.98,36546239703,1.75E+11,121.24,150.94,7220
2020-05-21,9522.74,9555.24,8869.93,9081.76,39326160532,1.67E+11,120.72,148.22,7070
2020-05-22,9080.33,9232.94,9008.64,9182.58,29810773699,1.69E+11,122.37,150.86,6820
2020-05-23,9185.06,9302.5,9118.11,9209.29,27727866812,1.69E+11,122.37,147,6820
2020-05-24,9212.28,9288.4,8787.25,8790.37,32518803300,1.62E+11,122.37,147,6820
2020-05-25,8786.11,8951.01,8719.67,8906.93,31288157264,1.64E+11,122.37,147,6680
2020-05-26,8909.59,8991.97,8757.29,8835.05,29584186947,1.62E+11,124.71,147,6870
2020-05-27,8837.38,9203.32,8834.16,9181.02,32740536902,1.69E+11,125.92,145.96,6730
2020-05-28,9184.94,9546.32,9148.46,9525.75,34367073114,1.75E+11,125.34,148.79,6720
2020-05-29,9528.36,9573.67,9379.34,9439.12,32896642044,1.74E+11,124.48,155.01,6830
2020-05-30,9438.91,9704.03,9366.73,9700.41,32722975141,1.78E+11,124.48,154.53,6830
2020-05-31,9700.11,9700.34,9432.3,9461.06,27773290299,1.74E+11,124.48,154.53,6830
2020-06-01,9463.61,10199.56,9450.9,10167.27,35198901068,1.87E+11,122.6,154.53,6850
2020-06-02,10162.97,10182.34,9460.57,9529.8,39137252109,1.75E+11,121.09,157.49,6990
2020-06-03,9533.76,9682.86,9471.85,9656.72,25007459262,1.78E+11,129.63,156.78,6810
2020-06-04,9655.85,9887.61,9525.25,9800.64,25921805072,1.80E+11,125.3,154.6,6810
2020-06-05,9800.22,9869.24,9663.22,9665.53,23509628646,1.78E+11,125.21,156,6880
2020-06-06,9664.9,9773.43,9591.02,9653.68,20438419222,1.78E+11,125.21,156.09,6880
2020-06-07,9653,9768.5,9458.15,9758.85,25015250846,1.80E+11,125.21,156.09,6880
2020-06-08,9760.06,9782.31,9675.89,9771.49,21486346312,1.80E+11,126.36,156.09,7040
2020-06-09,9774.36,9836.37,9664.72,9795.7,23717842783,1.80E+11,125.68,156.86,6800
