Date,Open,High,Low,Close,Volume,Market Cap
2019-04-25,7991.89,8117.93,7965.98,8052.54,22256813107,1.43E+11
2019-04-26,8055.21,8687.52,7924.67,8673.22,26677970092,1.54E+11
2019-04-27,8674.07,8907.17,8668.7,8805.78,27949839564,1.56E+11
2019-04-28,8802.76,8807.02,8634.72,8719.96,24226919267,1.55E+11
2019-04-29,8718.59,8755.85,8482.73,8659.49,23473479966,1.54E+11
2019-04-30,8661.76,9008.31,8221.27,8319.47,29246528551,1.48E+11
2019-05-01,8320.29,8586.66,8172.55,8574.5,25365190957,1.52E+11
2019-05-02,8573.84,8625.6,8481.58,8564.02,22488303544,1.52E+11
2019-05-03,8565.47,8809.3,8561.24,8742.96,20266216022,1.55E+11
2019-05-04,8741.75,8743.5,8204.19,8208.99,22004511436,1.46E+11
2019-05-05,8210.99,8210.99,7564.49,7707.77,24609731549,1.37E+11
2019-05-06,7704.34,7901.85,7668.67,7824.23,21760923463,1.39E+11
2019-05-07,7819.63,7937.34,7571.47,7822.02,19474611077,1.39E+11
2019-05-08,7826.9,8126.15,7788.37,8043.95,19141423231,1.43E+11
2019-05-09,8036.77,8076.89,7837.61,7954.13,16522722810,1.41E+11
2019-05-10,7949.67,7975.97,7583.22,7688.08,16610726547,1.36E+11
2019-05-11,7692.28,8031.91,7586.73,8000.33,18689275117,1.42E+11
2019-05-12,8004.24,8026.39,7772.8,7927.71,17107279932,1.41E+11
2019-05-13,7925.43,8196.65,7862.36,8145.86,19034432883,1.45E+11
2019-05-14,8145.55,8311.57,8087.06,8230.92,18669407147,1.46E+11
2019-05-15,8230.9,8710.64,8183.39,8693.83,19831162906,1.54E+11
2019-05-16,8689.75,8859.13,8618.4,8838.38,18371033226,1.57E+11
2019-05-17,8841.44,9335.87,8814.56,8994.49,23348550311,1.60E+11
2019-05-18,8988.92,9416.41,8988.92,9320.35,15562951919,1.66E+11
2019-05-19,9335.47,9348.37,9004.9,9081.76,15848210536,1.61E+11
2019-05-20,9078.73,9299.62,9070.4,9273.52,15546809946,1.65E+11
2019-05-21,9273.06,9594.42,9232.48,9527.16,17846823784,1.69E+11
2019-05-22,9525.07,10144.56,9525.07,10144.56,20624008643,1.80E+11
2019-05-23,10175.92,11157.35,10107.04,10701.69,29995204861,1.90E+11
2019-05-24,10696.69,11246.14,10556.1,10855.37,20998326502,1.93E+11
2019-05-25,10853.74,11065.9,10610.43,11011.1,19271652365,1.96E+11
2019-05-26,11007.2,11790.92,11007.2,11790.92,24879684533,2.10E+11
2019-05-27,11778.58,13796.49,11755.6,13016.23,45105733173,2.31E+11
2019-05-28,13017.12,13311.14,10491.85,11182.81,39977475223,1.99E+11
2019-05-29,11162.17,12445.18,10914.49,12407.33,35087757766,2.21E+11
2019-05-30,12400.76,12400.91,11508.38,11959.37,29923961128,2.13E+11
2019-05-31,6336.99,6349.16,6316.88,6317.61,4191240000,1.10E+11
2019-06-01,3612.05,3647.33,3470.14,3502.66,5020968740,61004445982
2019-06-02,3706.82,3949.32,3687.23,3745.95,6810689119,65299132785
2019-06-03,3742.2,4191.23,3728.97,4134.44,8927129279,72078243771
2019-06-04,4133.7,4198.43,3850.95,3896.54,7206015706,67937650255
2019-06-05,3898.08,4014.18,3855.74,4014.18,5605823233,69997508295
2019-06-06,3674.02,3713.88,3653.07,3687.37,5538712865,64443301117
2019-06-07,3686.97,3698.98,3653.81,3661.3,4778170883,63994140882
2019-06-08,3658.87,3674.76,3544.93,3552.95,4681302466,62106461671
2019-06-09,3557.31,3727.84,3552.29,3706.05,5651384490,64789619995
2019-06-10,3600.37,3608.84,3558.54,3576.03,5004347059,62559869612
2019-06-11,3575.08,3620.75,3539.72,3604.58,5313623556,63065139424
2019-06-12,3605.56,3623.07,3565.31,3585.12,5433755649,62731361272
2019-06-13,3584.5,3616.09,3569.09,3600.87,5262869046,63014066012
2019-06-14,3607.39,3612.93,3575.6,3599.77,5265847539,63000985908
2019-06-15,3414.93,3427.95,3394.22,3399.47,5004962683,59578075991
2019-06-16,3401.38,3695.61,3391.02,3666.78,7735623101,64270269953
2019-06-17,3671.59,3679.94,3646.56,3671.2,6158833645,64354732475
2019-06-18,3673.2,3695.04,3640.98,3690.19,6282256903,64694025951
2019-06-19,3695.61,3695.61,3642.29,3648.43,6277056434,63968390250
2019-06-20,3642.75,3668.59,3618.56,3653.53,6480384532,64063755250
2019-06-21,3653.6,3669.75,3617.25,3632.07,6438903823,63694394519
2019-06-22,3631.17,3646.26,3607.7,3616.88,6271044418,63434486052
2019-06-23,3617.37,3647.8,3608.21,3620.81,6091952231,63509111125
2019-06-24,3615.27,3652.84,3615.27,3629.79,5934744052,63673369195
2019-06-25,3633.36,3680.54,3619.18,3673.84,7039512503,64453368779
2019-06-26,3671.37,3936.67,3669.98,3915.71,9908216640,68704389994
2019-06-27,3911.66,4010.88,3908.15,3947.09,9933626655,69262673238
2019-06-28,3946.68,4000.49,3926.25,3999.82,8693373948,70194350042
2019-06-29,4000.26,4010.01,3940.11,3954.12,7775128102,69398333876
2019-06-30,11931.99,12178.38,10799.01,10817.16,27256473494,1.92E+11
2019-07-01,10796.93,11206.44,10089.31,10583.13,29378589324,1.88E+11
2019-07-02,10588.68,10912.19,9737.88,10801.68,31015895223,1.92E+11
2019-07-03,10818.16,11968.08,10818.16,11961.27,30796494294,2.13E+11
2019-07-04,11972.72,12006.08,11166.57,11215.44,25920294033,2.00E+11
2019-07-05,11203.1,11395.66,10874.96,10978.46,23838480210,1.95E+11
2019-07-06,10982.54,11620.97,10982.54,11208.55,21092024306,2.00E+11
2019-07-07,11217.62,11541.62,11148.8,11450.85,19369044277,2.04E+11
2019-07-08,11446.6,12345.83,11393.37,12285.96,23482551458,2.19E+11
2019-07-09,12284.33,12779.13,12233.26,12573.81,28167921523,2.24E+11
2019-07-10,12571.54,13129.53,11710.98,12156.51,33627574244,2.17E+11
2019-07-11,12139.71,12144.62,11158.92,11358.66,28595327690,2.02E+11
2019-07-12,11354.3,11905.49,11179.14,11815.99,23534692797,2.10E+11
2019-07-13,11813.13,11841.96,10908.48,11392.38,21042616384,2.03E+11
2019-07-14,11381.02,11451.2,10234.58,10256.06,22486000001,1.83E+11
2019-07-15,10257.84,11052.77,9992.01,10895.09,25384047207,1.94E+11
2019-07-16,10896.65,10996.63,9448.11,9477.64,24151199070,1.69E+11
2019-07-17,9471.21,9963.13,9163.13,9693.8,24569921549,1.73E+11
2019-07-18,9698.5,10736.84,9376.8,10666.48,25187024648,1.90E+11
2019-07-19,10653.96,10716.98,10229.63,10530.73,20727426310,1.88E+11
2019-07-20,10525.82,11048.66,10451.28,10767.14,20206615155,1.92E+11
2019-07-21,10777.53,10841.89,10389.6,10599.11,17130580467,1.89E+11
2019-07-22,10596.95,10651.79,10154.92,10343.11,16334414913,1.84E+11
2019-07-23,10346.75,10346.75,9883.6,9900.77,17851916995,1.77E+11
2019-07-24,9887.73,9908.8,9614.31,9811.93,17398734322,1.75E+11
2019-07-25,9809.1,10154.25,9773.96,9911.84,15821952090,1.77E+11
